objectid,object_location,display_template,title,date,description,subject
01land,/objects/01land.pdf,pdf,"Deeds to Tempe School Land, 1885-1936",1885,"Deeds to Tempe School Land Land Acquisitions 1885-1936 MSS-98 Box 67 Folder 2/OV1 George W. Wilson and Martha V. Wilson originally agreed to exchange five acres of their property for $500 raised by the citizens of Tempe. The Wilsons then generously donated 15 additional acres of land, creating the core of the original 20 acre campus. They continued to use the land to graze cattle for their business, the Pioneer Meat Market. In 1906 George Wilson became grounds keeper - a position he held for the next 25 years. Wilson Hall is named for him.",Landmarks
01casc,/objects/01casc.jpg,image,"Class portrait on the porch of the Normal School Building, 1890s",1890,Students and staff gather for a class portrait on the porch of the Normal School Building. 1890s UP UPC ASUB N623 #36 1890s,Campus Lives - Campus Scenes
